#Position=i-	<Ham_i>	20		time(or beta)
"t=0"
-18	-0.870747496370115	0
-17	-0.870747513178219	0
-16	-0.870747539190864	0
-15	-0.870747559927878	0
-14	-0.870747569824399	0
-13	-0.870747557768627	0
-12	-0.870747547585849	0
-11	-0.870747549509857	0
-10	-0.870747537063344	0
-9	-0.870747531156627	0
-8	-0.870747533369344	0
-7	-0.870747532256882	0
-6	-0.870747521790883	0
-5	-0.870747527765681	0
-4	-0.870747528810836	0
-3	-0.87074751901231	0
-2	-0.870747528168392	0
-1	-0.870747529432413	0
0	-0.870747518511775	0
1	-0.870747527252839	0
2	-0.870747530621775	0
3	-0.87074751861004	0
4	-0.870747525965226	0
5	-0.870747532014647	0
6	-0.870747519916021	0
7	-0.870747525749047	0
8	-0.870747534738432	0
9	-0.870747525481667	0
10	-0.870747525422581	0
11	-0.870747541197251	0
12	-0.870747544818736	0
13	-0.870747543095913	0
14	-0.87074756264318	0
15	-0.870747573933545	0
16	-0.870747565637413	0
17	-0.870747539740151	0
18	-0.870747514589488	0
19	-0.870747503900359	0


