#Position=i-	<Sz_i>	5		time
"t=0"
-4	0.125000000570417	0
-3	-0.353757270784978	0
-2	-0.136818205346536	0
-1	0.0945138224320573	0
0	-0.228938344593158	0
1	-0.228938345589436	0
2	0.0945138231963147	0
3	-0.13681820559204	0
4	-0.353757273824437	0
5	0.124999999537007	0
"t=0.01"
-4	0.125002943819505	0.01
-3	-0.353765600351013	0.01
-2	-0.136821426866983	0.01
-1	0.0945160478537541	0.01
0	-0.228943735173711	0.01
1	-0.228943736169965	0.01
2	0.0945160486180671	0.01
3	-0.136821427112469	0.01
4	-0.353765603390537	0.01
5	0.125002942786041	0.01
